timestamp,ear,mar,status
1776423794.5449927,0.1337,0.4646,ALERT
1776423794.5680103,0.1355,0.4508,ALERT
1776423794.6121144,0.1135,0.458,ALERT
1776423794.6281185,0.1275,0.4575,ALERT
1776423794.690184,0.1074,0.4515,ALERT
1776423794.7051816,0.1004,0.4586,ALERT
1776423794.751178,0.0779,0.4571,ALERT
1776423794.7651803,0.0767,0.458,ALERT
1776423794.8167114,0.0872,0.458,ALERT
1776423794.8497162,0.0913,0.4571,ALERT
1776423794.8852477,0.0886,0.457,ALERT
1776423794.9233067,0.0847,0.4554,ALERT
1776423794.9515314,0.1845,0.4575,ALERT
1776423794.9686098,0.1675,0.4564,ALERT
1776423795.0293357,0.2859,0.458,ALERT
1776423795.0433354,0.2932,0.4571,ALERT
1776423795.090879,0.3013,0.457,ALERT
1776423795.1038785,0.3047,0.4508,ALERT
1776423795.1548772,0.3019,0.4508,ALERT
1776423795.1778927,0.2951,0.4508,ALERT
1776423795.2192771,0.2827,0.4571,ALERT
1776423795.2328258,0.2893,0.4571,ALERT
1776423795.2832096,0.3085,0.4524,ALERT
1776423795.3032682,0.3085,0.4576,ALERT
1776423795.3494518,0.3174,0.4498,ALERT
1776423795.3643641,0.316,0.4577,ALERT
1776423795.4315176,0.3332,0.4505,ALERT
1776423795.4464781,0.3332,0.4505,ALERT
1776423795.4936004,0.3464,0.458,ALERT
1776423795.5103016,0.3493,0.4517,ALERT
1776423795.556555,0.3463,0.487,ALERT
1776423795.5718715,0.3457,0.4862,ALERT
1776423795.6210785,0.3551,0.5721,ALERT
1776423795.636153,0.3622,0.5785,ALERT
1776423795.6882148,0.3424,0.6312,ALERT
1776423795.705271,0.3612,0.6339,ALERT
1776423795.7496712,0.3731,0.694,ALERT
1776423795.7649145,0.3609,0.6956,ALERT
1776423795.8305142,0.3188,0.7567,ALERT
1776423795.8465145,0.3368,0.7479,ALERT
1776423795.8994772,0.3033,0.8011,ALERT
1776423795.914474,0.296,0.7938,ALERT
1776423795.9584692,0.3141,0.8175,ALERT
1776423795.9869962,0.2999,0.8238,ALERT
1776423796.0249972,0.306,0.8459,ALERT
1776423796.041998,0.3013,0.8394,ALERT
1776423796.0882807,0.2997,0.8404,ALERT
1776423797.118983,0.3065,0.8505,DROWSY
1776423798.1568673,0.2928,0.7559,DROWSY
1776423798.2316365,0.2766,0.474,ALERT
1776423798.253653,0.2298,0.4399,ALERT
1776423798.291181,0.2542,0.4641,ALERT
1776423798.3111799,0.2774,0.4725,ALERT
1776423798.3581934,0.485,0.4475,ALERT
1776423798.3727117,0.4849,0.4489,ALERT
1776423798.438713,0.4125,0.4563,ALERT
